Tanggal & Waktu,Operator,Aktivitas,Detail Keterangan
2026-06-29 01:18:22,operator,Timbangan Truk,Pencatatan jembatan timbang No TRK-29011821 | Netto: 348.0 kg.
2026-06-29 01:20:01,operator,Logout,Keluar dari sistem.
2026-06-29 02:58:59,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-29 03:02:43,admin,Logout,Keluar dari sistem.
2026-06-29 06:52:37,admin,Logout,Keluar dari sistem.
2026-06-29 07:06:36,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-29 07:09:17,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0005).
2026-06-29 07:09:39,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0006).
2026-06-29 07:10:32,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0007).
2026-06-29 07:10:59,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0008).
2026-06-29 07:11:40,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0009).
2026-06-29 07:13:05,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0001).
2026-06-29 07:13:38,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0001).
2026-06-29 07:13:58,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0002).
2026-06-29 07:14:35,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0003).
2026-06-29 07:15:06,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0010).
2026-06-29 07:19:44,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-29 14:29:48,admin,Koreksi Data Cepat,Koreksi cepat Sapi Kode S1 (RFID DPR0005).
2026-06-29 14:30:59,admin,Koreksi Data Cepat,Koreksi cepat Sapi Kode S1 (RFID DPR0005).
